שם ישוב,סמל ישוב,מספר קלפי,בזב,מצביעים,פסולים,כשרים,אמת,ב,ג,ד,ו,ז,זך,זנ,ט,יש,כן,ל,ם,מחל,מרצ,נ,נץ,עם,ף,פה,צ,צף,ק,קך,קנ,קץ,רק,שס
שחר,7,10,354,257,3,254,66,3,4,1,0,0,0.0,1,0,19,0,2,20,97,9,3,2,0,0,0,0,0,0,0,0,0,1,26
תירוש,10,10,254,199,5,194,3,15,7,0,0,2,0.0,0,1,1,0,3,1,75,0,0,2,1,0,0,1,0,0,0,0,0,1,81
"ניר ח""ן",11,10,269,162,1,161,31,9,0,0,0,0,0.0,0,0,14,0,8,4,75,10,1,0,0,0,1,0,0,0,0,3,0,2,3
חצבה,13,10,428,278,4,274,99,4,0,0,0,0,0.0,0,0,60,0,14,1,48,33,0,1,0,0,0,0,0,0,0,7,1,3,3
נועם,15,10,309,224,1,223,1,20,8,1,0,1,0.0,0,0,0,0,5,8,108,0,0,1,0,0,0,0,0,0,0,0,0,0,70
בית ניר,16,10,217,156,0,156,36,0,0,0,1,0,0.0,0,1,2,0,0,0,0,101,3,0,0,0,0,0,0,0,0,12,0,0,0
שדה משה,18,10,251,200,0,200,55,2,0,0,0,0,0.0,0,0,36,0,3,3,69,22,0,1,0,0,0,1,0,0,0,1,0,0,7
מקווה ישראל,22,10,183,129,0,129,44,15,2,0,0,0,0.0,0,0,21,0,3,6,24,12,0,0,0,0,0,0,0,0,0,1,0,0,1
אמציה,23,10,106,67,0,67,3,0,0,0,0,0,0.0,0,0,6,0,0,3,44,3,0,3,0,0,0,0,0,0,0,3,0,0,2
לכיש,24,10,359,293,3,290,127,2,1,0,0,0,0.0,0,0,55,0,3,1,27,66,1,3,0,0,0,0,0,0,0,1,0,2,1
ראש פינה,26,10,534,402,0,402,121,5,2,0,3,0,0.0,1,0,48,2,1,7,75,88,2,1,1,0,0,0,0,0,0,31,0,5,9
ראש פינה,26,20,532,362,2,360,91,15,8,0,3,0,0.0,3,0,44,1,12,3,78,62,2,9,0,0,0,0,0,1,0,14,0,4,10
ראש פינה,26,30,595,414,4,410,102,3,3,0,1,0,0.0,0,0,69,1,10,9,133,37,2,4,0,0,0,0,0,0,0,15,0,4,17
שדות מיכה,27,10,210,130,1,129,4,1,6,0,0,0,0.0,2,0,2,0,2,1,50,1,1,1,0,0,0,0,0,0,0,0,0,0,58
מזכרת בתיה,28,10,766,564,4,560,115,8,0,0,1,0,0.0,0,0,97,2,4,15,227,41,2,3,1,0,0,0,0,0,0,6,0,2,36
מזכרת בתיה,28,20,792,580,10,570,107,10,5,0,0,0,0.0,2,0,108,58,22,17,165,40,0,4,0,0,0,0,1,0,1,11,0,3,16
