שם ישוב,סמל ישוב,מספר קלפי,בזב,מצביעים,פסולים,כשרים,אמת,ג,ד,ה,ו,ז,זה,זך,חץ,טב,יש,כ,כן,כץ,ל,מחל,מרצ,נץ,עם,פ,פז,פכ,פץ,ף,צה,ק,קז,קנ,קפ,רק,שס
שחר,7,10,0,238,0,238,65,3,0,0,0,0,0,9,0,5,0,0,82,0,6,29,8,0,0,0,0,0,1,0,0,1,1,1,0,1,26
תירוש,10,10,0,180,4,176,10,0,0,0,0,0,0,2,0,31,0,0,6,0,3,26,0,0,0,1,0,0,0,0,0,0,0,1,0,0,96
"ניר ח""ן",11,10,0,173,0,173,62,1,0,0,0,0,0,14,1,6,0,0,42,0,7,25,7,0,0,0,0,0,0,0,0,0,0,3,0,3,2
חצבה,13,10,0,300,2,298,53,0,0,0,0,0,1,24,0,14,1,1,111,0,18,9,27,0,0,11,0,0,2,0,0,1,0,6,0,14,5
נועם,15,10,0,189,1,188,17,6,0,0,0,0,0,3,0,25,0,0,18,0,9,37,0,1,0,0,0,0,0,0,0,0,0,1,0,0,71
בית ניר,16,10,0,169,0,169,44,0,0,0,0,0,0,5,0,1,0,0,35,0,0,0,76,0,0,0,0,0,0,0,0,0,0,5,0,2,1
שדה משה,18,10,0,199,0,199,53,1,1,0,0,0,0,17,1,2,0,0,68,0,12,15,13,0,0,4,0,0,1,0,0,0,0,4,0,4,3
מקווה ישראל,22,10,0,130,2,128,37,1,0,0,1,0,0,13,0,22,0,0,25,0,6,6,11,1,0,0,0,0,0,0,0,0,0,3,0,0,2
אמציה,23,10,0,76,0,76,6,0,0,0,0,0,0,15,0,0,0,0,26,0,5,11,8,0,0,0,0,0,0,0,0,0,0,1,0,4,0
לכיש,24,10,0,304,1,303,129,0,1,0,0,0,0,10,2,5,0,0,91,0,6,12,37,1,0,4,0,0,0,0,0,1,0,0,0,3,1
ראש פינה,26,10,0,395,0,395,130,0,2,0,4,0,1,34,0,15,1,0,96,0,9,16,48,0,0,3,0,0,0,0,0,0,0,24,0,8,4
ראש פינה,26,20,0,420,1,419,126,4,0,0,1,0,0,22,0,32,0,9,114,0,11,21,41,0,0,6,0,0,0,0,0,1,0,11,0,10,10
ראש פינה,26,30,0,413,0,413,110,3,0,0,0,0,0,36,1,23,0,2,140,0,15,32,19,1,0,2,0,0,1,0,0,0,0,7,0,7,14
שדות מיכה,27,10,0,141,2,139,47,0,0,0,0,0,0,1,0,3,1,1,13,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
