שם ישוב,סמל ישוב,מספר קלפי,בזב,מצביעים,פסולים,כשרים,אמת,ג,דעם,ום,ז,זי,זך,זנ,זץ,טב,י,יז,ין,יץ,כ,ךק,ל,מחל,מרצ,נ,נז,נך,נץ,נר,ן,ןך,ןנ,פה,ףז,ףי,ףך,ףנ,ףץ,צק,ץ,ץז,ץי,ק,קי,קן,קף,ר,שס
אבו ג'ווייעד (שבט),967,1,546,64,2,62,2,0,31,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
אבו ג'ווייעד (שבט),967,2,739,113,2,111,2,0,69,5,1,0,0,0,0,0,0,0,0,0,1,0,0,2,3,3,0,0,1,0,0,0,0,20,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0
אבו ג'ווייעד (שבט),967,3,630,98,1,97,1,0,75,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
אבו גוש,472,1,518,197,6,191,4,0,36,50,0,0,0,0,0,1,0,0,0,1,3,0,0,19,44,0,0,0,0,0,0,1,0,29,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
אבו גוש,472,2,679,290,3,287,7,0,69,85,1,0,0,0,0,2,0,0,0,0,1,0,2,14,61,0,0,0,0,2,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
אבו גוש,472,3,567,232,8,224,5,0,26,51,0,0,0,0,0,3,0,0,0,0,2,0,0,49,36,1,0,0,0,1,0,0,0,36,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12
אבו גוש,472,4,753,324,12,312,5,1,53,95,0,0,0,0,0,0,0,0,0,0,3,0,5,30,53,0,0,0,1,1,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
אבו גוש,472,5,541,195,7,188,4,1,38,29,0,1,0,0,0,1,0,0,0,1,2,1,0,27,30,0,0,0,0,1,1,0,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
אבו גוש,472,6,659,282,19,263,9,0,79,77,0,0,0,0,0,2,0,0,0,0,2,0,1,16,26,0,0,0,1,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
אבו גוש,472,7,547,222,10,212,1,0,32,62,0,0,0,0,0,1,0,0,0,0,1,0,2,34,29,0,0,0,0,1,0,0,0,40,0,1,0,0,1,0,0,0,0,0,0,1,0,3,3
אבו גוש,472,8,443,173,7,166,0,0,35,41,1,0,0,0,0,1,0,0,0,0,0,0,0,12,34,0,0,0,3,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
אבו סנאן,473,1,726,374,6,368,9,0,59,212,0,0,0,0,0,1,1,0,0,1,30,0,6,9,11,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,2,0,0,0,4,4
אבו סנאן,473,2,690,370,2,368,1,0,77,230,0,0,0,0,0,0,0,0,0,0,15,0,1,5,18,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1
אבו סנאן,473,3,739,379,4,375,5,0,31,133,0,0,0,0,1,0,2,0,1,0,40,0,13,34,16,0,1,0,2,0,0,0,0,71,0,5,0,0,0,13,0,0,0,0,3,0,0,0,4
אבו סנאן,473,4,678,369,17,352,2,0,32,194,0,0,0,0,0,0,1,0,0,0,27,0,6,11,23,0,0,0,0,0,0,0,0,45,0,2,0,0,0,2,0,0,0,0,0,0,0,0,7
אבו סנאן,473,5,749,397,7,390,7,0,65,193,0,0,0,0,0,0,0,0,0,0,36,1,7,8,16,1,0,0,1,0,1,0,0,39,0,0,0,0,1,2,2,0,0,2,1,0,1,0,6
אבו סנאן,473,6,722,446,8,438,2,0,23,242,1,0,0,0,0,0,1,0,0,0,79,0,15,4,11,2,2,0,0,0,0,0,0,46,0,1,0,0,0,1,0,0,0,0,0,0,1,0,7
