סמל ועדה,ברזל,שם ישוב,סמל ישוב,קלפי,ריכוז,שופט,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,ינ,יף,יק,יר,כ,כן,ל,מחל,נ,נז,ני,נץ,נק,פה,ףז,ץ,ק,קי,קך,קץ,שס,
18,9870,אבו גווייעד שבט,967,1,1,0,585,126,2,124,2,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,2,
18,9871,אבו גווייעד שבט,967,2,1,0,764,249,2,247,6,0,235,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,
18,9872,אבו גווייעד שבט,967,3,1,0,669,220,2,218,5,0,207,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,
2,736,אבו גוש,472,1,1,0,530,299,7,292,15,1,229,0,0,0,0,0,0,1,0,0,1,0,0,0,32,0,0,0,0,0,11,0,0,0,0,0,0,2,
2,737,אבו גוש,472,2,1,0,693,388,6,382,6,0,330,0,0,0,0,0,0,2,0,0,0,0,0,2,23,0,0,0,0,0,18,0,0,0,0,0,1,0,
2,738,אבו גוש,472,3,2,0,585,344,4,340,3,0,258,0,0,0,1,0,0,1,0,0,0,0,0,0,51,0,0,0,1,0,18,0,0,0,0,0,1,6,
2,739,אבו גוש,472,4,4,0,775,464,6,458,16,0,364,0,0,0,1,0,0,1,0,0,0,0,0,0,52,0,0,0,0,0,21,0,1,0,0,0,0,2,
2,740,אבו גוש,472,5,2,0,543,266,2,264,11,0,201,0,0,0,1,0,0,0,1,0,0,0,0,0,40,0,0,0,1,1,6,0,0,0,0,0,0,2,
2,741,אבו גוש,472,6,4,0,676,386,9,377,13,0,310,0,0,0,1,0,0,0,0,0,0,0,0,1,24,0,0,0,1,0,24,0,1,0,0,0,1,1,
2,742,אבו גוש,472,7,1,0,562,320,1,319,6,0,260,0,0,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0,0,17,0,0,0,0,1,1,1,
2,743,אבו גוש,472,8,2,0,457,251,1,250,5,3,205,0,0,0,1,0,0,0,0,0,0,0,0,1,26,0,0,0,0,1,8,0,0,0,0,0,0,0,
6,2334,אבו סנאן,473,1,1,0,738,546,2,544,13,2,472,0,1,0,2,0,0,6,1,0,0,0,0,4,16,1,0,0,0,0,17,0,2,1,0,0,0,6,
6,2335,אבו סנאן,473,2,1,0,688,473,3,470,2,0,456,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,1,
6,2336,אבו סנאן,473,3,5,0,738,462,1,461,2,0,307,0,0,0,0,0,0,1,0,0,0,0,0,26,21,0,0,0,0,0,91,0,0,0,0,0,0,13,
6,2337,אבו סנאן,473,4,2,0,681,436,7,429,2,0,355,0,0,0,2,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,35,0,0,0,0,0,0,15,
6,2338,אבו סנאן,473,5,2,0,763,504,1,503,16,0,413,0,0,0,0,0,2,0,0,0,0,0,0,10,8,1,0,0,0,0,35,0,0,1,0,0,1,16,
6,2339,אבו סנאן,473,6,3,0,745,508,5,503,4,2,365,0,0,0,1,0,0,0,0,0,0,0,0,16,12,0,0,1,1,0,50,0,0,0,0,0,0,51,
6,2340,אבו סנאן,473,7,4,1,736,488,5,483,4,1,329,0,0,0,2,0,0,0,0,0,0,0,0,28,12,0,0,0,0,0,61,0,0,0,0,0,0,46,
6,2341,אבו סנאן,473,8,3,0,740,477,11,466,8,0,403,0,0,0,0,0,0,1,0,0,0,0,0,2,9,0,0,0,0,0,15,0,0,0,0,1,2,25,
6,2342,אבו סנאן,473,9,5,0,703,448,2,446,9,0,358,0,0,0,3,0,0,0,0,0,0,0,0,10,18,0,0,0,0,1,38,0,0,0,0,0,1,8,
