סמל ועדה,ברזל,שם ישוב,סמל ישוב,קלפי,ריכוז,שופט,בזב,מצביעים,פסולים,כשרים,אמת,ב,ג,ודעם,ז,זץ,ט,י,יז,ינ,יף,יק,יר,כ,כך,כן,ל,מחל,מרצ,נ,ני,נר,עם,פה,ףז,צי,צכ,צף,ץ,ק,קי,קך,קץ,ר,רנ,רף,רק,שס,ת,
6,3238,אבירים,1220,1,1,0,221,151,1,150,47,0,0,3,0,0,2,0,3,0,0,0,0,0,0,16,2,5,31,0,0,0,0,27,0,0,0,0,0,0,0,0,0,5,0,0,0,1,8,
5,1788,אדירים,113,1,1,0,234,180,0,180,1,7,4,0,0,0,9,0,1,0,0,0,0,0,0,3,0,84,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,61,6,
8,4113,אושה,278,1,1,0,382,276,0,276,72,7,0,3,0,0,0,0,2,0,0,1,0,0,0,37,8,24,20,0,0,0,0,86,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,
17,10449,אחווה,1157,1,1,0,183,145,0,145,14,4,0,0,0,0,4,0,0,0,0,0,0,0,0,36,3,27,10,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,
17,10450,איבים,338,1,1,0,138,40,0,40,0,4,0,0,0,1,10,0,0,0,0,0,0,0,0,5,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,
9,4332,אלעריאן,1316,1,3,0,130,84,0,84,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,1553,אלומות,330,1,1,0,316,205,0,205,45,12,1,0,0,0,2,0,2,0,0,0,0,0,0,26,3,24,31,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,
9,4798,אלוני יצחק,868,1,2,0,125,23,0,23,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
4,1613,אליעד,4002,1,1,0,311,222,3,219,46,21,0,0,0,0,8,0,1,0,0,0,0,0,0,27,12,18,11,0,0,0,0,54,1,0,0,0,0,0,0,0,0,3,0,0,0,0,17,
4,1580,אלמגור,1125,1,1,0,295,232,1,231,67,3,0,1,0,0,1,0,2,0,0,0,0,0,0,48,12,6,31,0,0,0,0,48,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,
4,1581,אמנון,1253,1,1,0,337,220,1,219,17,38,1,0,0,0,9,0,4,0,0,0,0,0,0,27,8,63,6,0,0,0,0,26,0,0,0,0,0,0,0,0,0,2,0,0,0,1,17,
17,10330,אמציה,23,1,1,0,158,103,0,103,8,21,0,0,0,1,24,0,1,0,0,0,0,0,0,5,1,22,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,
4,1615,אפיק,4301,1,1,0,256,177,3,174,32,8,0,0,1,0,2,0,3,0,0,0,0,0,0,22,8,14,15,0,0,0,0,53,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11,
17,9923,אשדוד,70,1.1,102,0,615,241,0,241,2,9,2,0,0,0,7,0,0,0,0,0,0,0,0,7,45,110,5,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0,14,15,
17,9924,אשדוד,70,1.2,102,0,615,192,5,187,4,3,1,0,0,0,6,0,1,0,0,0,0,0,0,9,48,55,2,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,
17,9925,אשדוד,70,1.3,102,0,615,229,0,229,8,7,0,0,0,0,5,0,2,0,0,0,0,0,0,13,54,76,2,0,0,0,0,29,1,0,0,0,0,0,0,0,0,2,0,0,0,20,10,
17,9926,אשדוד,70,1.4,102,0,613,155,2,153,4,3,0,0,0,0,2,0,2,0,0,0,1,0,0,8,44,54,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,
17,9927,אשדוד,70,2.1,75,0,627,296,1,295,8,12,3,0,0,0,5,0,5,1,0,0,0,0,0,13,31,119,7,0,0,0,0,33,0,0,0,0,0,0,0,0,0,1,1,0,0,41,15,
17,9928,אשדוד,70,2.2,75,0,627,274,1,273,17,10,1,0,0,0,4,0,3,0,0,0,0,0,0,16,21,110,10,0,0,0,0,34,0,0,0,0,0,0,0,0,0,3,0,0,0,25,19,
17,9929,אשדוד,70,2.3,75,0,627,313,5,308,13,16,4,0,0,0,11,0,2,1,0,1,0,0,1,27,37,121,2,0,0,1,0,33,0,0,0,0,0,0,0,0,0,1,0,0,0,23,14,
17,9930,אשדוד,70,2.4,75,0,627,287,6,281,6,15,1,0,0,0,10,0,3,1,0,0,0,0,0,19,47,106,4,0,0,0,0,33,0,0,0,0,0,0,0,0,0,1,0,0,0,19,16,
17,9931,אשדוד,70,2.5,75,0,626,270,2,268,10,16,2,0,0,0,8,0,1,0,0,0,0,0,0,14,53,65,7,0,0,0,0,46,0,0,0,0,0,0,0,0,0,2,1,0,0,30,13,
17,9932,אשדוד,70,4,21,0,440,248,5,243,2,7,1,0,0,0,6,1,3,0,0,1,0,0,0,7,50,99,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,33,9,
17,9933,אשדוד,70,8,31,0,395,148,0,148,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,3,37,57,1,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,
17,9934,אשדוד,70,9,32,0,590,270,3,267,4,2,2,0,0,0,8,0,2,0,0,1,0,1,0,9,65,114,1,0,0,0,0,23,1,0,0,0,0,0,0,0,0,3,0,0,0,21,10,
17,9935,אשדוד,70,10,25,0,558,219,3,216,2,7,2,0,0,0,4,0,0,1,0,0,0,0,0,3,53,88,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,1,0,0,0,27,2,
17,9936,אשדוד,70,11,6,0,532,259,4,255,7,6,1,0,0,0,5,0,1,0,0,0,0,0,2,5,85,75,1,1,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,22,19,
17,9937,אשדוד,70,13.1,11,0,638,245,0,245,6,8,2,0,0,0,5,0,2,0,0,0,0,0,0,8,40,90,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,2,1,0,0,50,12,
17,9938,אשדוד,70,13.2,11,0,637,267,2,265,8,8,6,0,0,0,3,1,1,0,0,0,0,0,0,3,62,107,5,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,32,14,
17,9939,אשדוד,70,14,88,0,496,220,1,219,2,14,4,0,0,0,10,0,1,0,0,0,0,0,0,5,39,95,4,0,0,0,0,21,0,0,0,0,0,2,0,0,0,1,0,0,0,18,3,
17,9940,אשדוד,70,15,71,0,500,249,1,248,3,5,4,0,0,0,12,0,1,0,0,0,0,0,0,3,42,99,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,2,0,0,0,42,12,
17,9941,אשדוד,70,17,31,0,617,279,4,275,9,9,1,0,0,0,3,0,1,0,0,0,0,0,0,3,84,99,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,28,10,
17,9942,אשדוד,70,19,21,1,636,193,2,191,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,4,41,78,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,2,0,0,0,34,4,
17,9943,אשדוד,70,20.1,35,0,341,192,1,191,3,4,4,1,0,0,3,0,1,0,0,0,0,0,0,9,29,99,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,23,6,
17,9944,אשדוד,70,20.2,35,0,341,168,2,166,6,4,1,1,0,0,7,0,0,0,0,0,0,0,0,4,33,67,1,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,22,5,
17,9945,אשדוד,70,21,22,0,537,333,3,330,6,29,0,0,0,0,19,1,0,0,0,0,0,0,1,9,47,140,1,0,0,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,31,18,
17,9946,אשדוד,70,22,6,0,510,222,3,219,2,4,0,0,0,0,6,0,1,0,0,0,0,0,0,2,31,96,0,0,0,1,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,58,5,
17,9947,אשדוד,70,24.1,4,0,530,296,2,294,2,9,36,0,0,0,13,0,0,0,0,0,0,0,2,9,8,102,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,89,12,
17,9948,אשדוד,70,24.2,4,0,530,338,3,335,0,4,152,0,0,0,9,0,4,0,0,0,0,0,0,4,23,47,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,71,9,
17,9949,אשדוד,70,24.3,4,0,530,338,1,337,5,8,106,0,0,0,6,0,5,0,0,0,0,0,0,12,20,69,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,85,8,
17,9950,אשדוד,70,24.4,4,0,530,307,2,305,2,5,83,0,0,0,8,0,0,0,0,0,0,0,0,11,19,67,1,0,0,0,0,10,0,0,0,0,0,0,1,1,0,0,0,0,0,90,7,
17,9951,אשדוד,70,24.5,4,0,527,306,3,303,0,9,135,0,0,0,7,0,1,0,0,0,0,0,0,1,21,57,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2,
17,9952,אשדוד,70,25.1,24,0,593,307,2,305,7,10,23,0,0,0,7,0,5,0,0,0,0,0,0,11,27,101,3,0,0,1,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,90,8,
17,9953,אשדוד,70,25.2,24,0,593,292,4,288,5,3,71,0,0,0,7,0,4,0,0,0,0,0,0,10,30,70,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,62,5,
17,9954,אשדוד,70,25.3,24,0,593,293,2,291,3,4,30,0,0,0,14,0,2,0,0,0,1,0,0,7,27,96,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,79,9,
17,9955,אשדוד,70,25.4,24,0,593,286,3,283,1,12,38,0,0,0,8,0,1,1,0,0,0,0,0,12,26,80,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,1,0,0,83,3,
